30000 60000
22085 16585 12
18160 26951 44
14092 19033 36
10256 3985 16
29214 1806 78
21500 2652 63
25609 3098 63
16362 4734 22
19246 10675 39
8282 4050 29
27310 10216 41
11522 20972 23
23408 17245 73
10425 23853 93
24778 28123 37
23085 23883 65
9584 18959 64
2276 11117 96
1761 23799 31
25500 19354 50
27671 21074 75
18722 17233 73
21090 14517 27
23845 21120 85
24690 20086 21
17812 25786 62
13226 7002 36
19158 22451 71
16938 6478 96
13845 18239 77
26291 12131 83
16423 6249 14
7989 20305 94
5026 12870 93
1463 26162 70
23723 24889 15
5553 22578 34
22122 19787 27
8430 489 96
16477 20186 13
26713 23001 40
25845 197 73
23733 8507 30
18368 6316 46
12441 14024 80
6356 23394 11
9290 25071 84
8713 15654 55
17375 27493 29
16457 3133 67
1613 26327 28
19112 14633 34
26964 21437 47
22969 20196 18
14098 4400 51
25625 1995 72
7704 13351 70
24075 24911 14
6091 702 14
20140 6717 86
10213 14087 32
20189 16149 27
10504 29234 97
12946 5320 14
14800 22466 84
23525 12171 46
23440 26892 37
29225 17055 44
29134 8180 10
21115 5936 78
27524 1254 78
28667 27788 78
20290 27928 82
6703 8290 92
12814 1622 42
21753 16332 65
24839 18074 15
12924 3426 34
28660 21421 39
20152 523 87
20014 8039 39
29603 11430 95
20451 2847 73
13405 23873 12
20500 4818 56
5376 28028 10
16417 28791 35
15706 26814 44
25621 24450 11
28414 28742 63
22322 22243 75
24325 7495 41
21327 25835 29
231 11295 100
26639 23596 20
16026 27880 11
25060 17094 41
19315 27992 26
14231 23652 25
4060 26178 62
16208 3911 20
29867 3077 37
27042 24837 69
12358 20850 94
7661 2222 56
6088 993 12
19153 6334 86
2186 13946 33
13 14711 15
10675 12754 42
16328 21981 77
21166 2014 43
10759 823 60
25280 22222 60
9091 2141 26
24734 13172 32
25488 26678 33
6243 2301 97
29515 14998 88
24596 16091 26
22820 1855 42
1465 15151 100
7702 9462 98
4145 24281 64
25993 6666 89
8456 8268 79
2267 24639 69
15083 12053 58
27684 3353 70
15881 17867 48
15005 13201 44
25292 25552 46
13372 9827 13
15591 16686 38
12660 70 76
19976 25007 10
14733 8169 50
3314 10696 92
3542 21025 77
8855 18775 99
23977 2003 87
15723 3248 62
15699 26645 85
4470 26178 79
10947 10173 64
9697 18146 98
29704 2392 95
4540 11209 18
3975 1392 34
24252 11871 24
5185 5286 87
15792 5621 100
9402 13032 38
7922 26453 75
23902 17251 37
26303 28798 37
2648 13337 88
2038 20278 65
10287 18896 72
26385 13574 74
23209 2017 87
282 10597 22
12104 19716 76
15544 11669 10
1773 8163 64
14696 23721 80
26060 20939 47
15904 7634 66
474 9038 74
7577 26218 25
8051 25819 78
15032 28026 50
23495 7767 30
22720 23476 73
22469 11165 97
17590 19199 89
21704 9139 34
12779 18504 79
1515 20471 81
2170 13310 45
1957 736 28
24220 23087 20
4510 21096 22
12739 27557 45
23903 1579 82
5997 24601 68
27607 19874 94
7577 5932 43
25615 28807 97
10482 14907 32
4123 4205 55
11633 14838 74
28514 26116 28
21464 21366 20
15031 9508 26
22793 24458 69
27572 29227 88
13128 29462 28
6160 917 76
19292 316 18
13272 28268 51
18047 4239 92
27910 18394 28
670 1871 40
16095 8394 53
23334 11405 20
12323 14398 82
10235 5386 47
12357 5836 22
24589 1703 21
11576 12171 64
277 26043 88
19884 22270 17
26500 13742 49
25395 3866 85
26083 338 55
10083 4459 23
4567 28210 28
22250 29589 61
13886 29845 35
9655 23285 57
24782 26961 67
27250 19133 50
27173 1412 73
20059 7800 59
1568 7443 73
13553 22516 80
27002 11487 59
25536 127 23
1453 28539 27
22743 24038 81
28692 16374 34
11452 2264 53
404 23310 10
11221 4299 79
2392 22714 72
457 25881 16
23718 5920 34
19896 18671 37
8481 279 72
9805 2113 69
6255 25391 50
10049 26170 66
14985 28671 36
7591 3931 60
20572 15085 54
10785 11964 61
1857 27141 44
21823 10487 82
7248 2080 83
10748 14918 88
21998 19418 53
5577 1000 87
11075 25998 61
24481 15816 95
14230 22980 91
6769 16252 37
13564 3042 88
13917 11290 50
21224 11322 21
17688 17242 34
6964 7414 49
14691 8433 69
4594 8875 64
17366 8985 80
8234 6175 28
18090 3241 78
21416 17498 30
197 9299 38
28354 14118 93
5950 6008 38
8181 18752 35
6572 20663 46
19724 17074 71
3805 18165 15
22304 62 10
20135 19716 67
16036 20410 15
10573 2875 50
28509 5348 25
22700 6115 68
20457 25780 92
18768 10392 10
12656 26353 41
7774 246 69
22772 2584 35
16676 26522 26
16040 12586 74
6420 11253 28
1435 23892 74
5203 4174 99
19767 2324 96
18940 13057 67
4308 2736 76
6346 23254 19
19327 6382 53
3715 28098 38
28563 24517 76
8721 964 93
15258 23366 33
28661 28129 24
13026 15240 14
15256 20455 34
906 28870 83
25493 14699 66
24803 6121 61
26731 22830 49
8256 3138 21
17483 4294 51
12514 25059 77
15010 24991 72
17141 14147 16
14320 443 20
24666 13484 90
16540 14507 50
29439 3686 80
11786 264 57
7646 17710 25
27446 8489 84
20829 17567 86
9820 24093 91
14584 4310 69
13904 15077 48
7209 24322 56
23879 18537 100
2967 21731 77
24108 3408 48
23582 17201 55
20571 7023 51
10743 20413 84
15538 18114 100
13022 2423 67
6335 29689 12
27397 10423 60
22973 4189 95
27753 20071 76
19490 17439 97
23739 10363 98
20591 19063 81
964 19139 18
28607 1838 17
15369 22901 15
24014 26315 34
12679 25218 16
12246 16700 18
1210 17440 17
6834 28017 20
1350 29213 65
23332 25805 50
7995 23087 67
8897 19859 18
9926 20281 35
27243 20617 27
7852 1417 33
21810 14185 11
22606 7883 72
2858 2895 75
21061 6096 90
5219 19804 52
6518 7452 65
4189 15443 54
1501 21893 87
4593 7600 58
20788 3927 53
25707 15921 57
15441 4958 26
22455 16427 30
1447 26753 11
29019 1647 18
25395 1161 92
15288 17651 42
19648 6158 76
15590 5503 78
5003 3118 94
11049 19993 52
4688 17834 57
4914 12212 55
26404 13369 96
23936 13775 50
2608 2519 40
21711 15449 11
6812 23434 96
7568 2417 25
356 23192 22
5002 22627 77
6054 9630 57
24358 26916 81
1565 16605 53
12395 6849 55
24005 25118 89
24201 19611 79
411 3528 66
7601 1172 96
28787 7880 44
22202 8540 66
17143 10249 22
3782 20415 92
5594 11589 57
80 24382 88
22960 22210 16
6100 16382 75
20717 1483 49
14255 19493 92
26033 13499 51
12540 28359 98
14690 13424 64
25448 1179 25
6218 28633 47
6272 5645 40
27251 2867 72
16594 12953 100
3822 12348 94
22261 23800 53
2696 11682 40
8479 18211 37
27527 14812 36
17045 3503 58
19378 29111 43
17258 24711 71
12031 7892 50
28968 14791 90
24854 22434 42
878 7246 45
21635 24914 33
4954 15310 58
2846 24484 72
11206 5567 10
29811 24987 78
7166 10616 100
2346 12305 48
24722 4860 16
20823 26064 72
19067 13691 30
15371 17461 26
18592 5642 87
866 26638 98
9619 7003 15
6208 24649 71
6083 22817 14
3825 6239 61
2690 26145 16
6169 8392 43
8327 3443 64
29463 21091 88
4144 22191 41
29799 3913 46
25788 20051 20
17985 10446 60
5413 2799 75
6471 19148 85
15361 11442 20
10457 16039 90
16669 23859 30
18950 1081 43
20377 25407 100
6405 9904 59
4773 21721 90
20848 12402 22
8105 12353 97
2777 27806 98
25738 7266 23
13403 11578 89
12328 9734 44
14162 18851 64
28965 7159 74
2164 19136 88
25360 5067 85
10415 660 89
10987 27556 99
8502 7060 68
412 520 100
6093 22292 21
15434 22501 82
29658 9831 53
16833 26697 55
18216 2431 67
16137 22453 65
23075 8140 28
26176 15104 25
27354 9160 96
8993 28732 49
8590 27573 29
11384 24037 48
4911 12136 91
17476 20860 43
16756 21754 67
608 19297 16
3507 19697 25
26847 26604 10
8730 5516 15
27192 19992 16
19750 22277 87
20017 6176 12
6531 24283 10
15271 4010 84
20177 8192 79
25786 23939 79
15621 26613 85
25001 15356 42
18391 18464 58
29286 23955 67
13706 12604 78
16120 13216 76
21162 5403 28
7292 8427 18
27665 623 63
8859 6417 80
19344 20725 35
10552 26918 19
24634 10916 53
13822 8041 66
640 11504 42
26305 29616 57
21833 5048 88
5405 24118 76
12072 4201 72
20263 16045 23
16415 29142 34
11061 21377 39
26832 15556 88
21321 26284 59
19925 20394 81
29406 15166 37
8541 15068 78
27103 3717 10
13134 1811 50
3559 17343 32
5326 11562 17
10961 386 56
6476 4361 46
5552 29444 24
11134 14051 64
11497 9817 21
29132 21848 13
24681 7972 40
24829 16856 29
963 1488 36
27938 2409 68
6028 5432 25
9109 19831 95
16181 19833 49
26288 29056 14
16656 6792 34
4636 12236 15
2246 1359 45
13150 15686 45
18414 24696 29
4895 5113 86
6503 16873 26
17850 15220 90
26096 18014 50
4848 2984 81
18956 21012 49
5483 17444 62
11480 24911 98
7882 7277 15
19934 15153 24
13360 17229 17
9532 22862 89
7122 12107 21
24015 5755 30
1589 1611 32
12339 2364 85
572 28908 46
3531 26484 29
15435 6338 60
1960 17881 34
18253 19329 13
22160 3073 13
21673 3955 41
11899 9634 78
29670 12201 66
4188 3065 80
5081 27042 75
23930 13098 84
12709 10306 22
23994 11025 43
27199 1790 82
10853 4622 27
27579 20379 47
27406 11166 58
29104 18012 40
24802 5798 78
29374 5685 99
227 8880 81
8289 14555 91
23341 2193 61
14466 15591 66
1442 12790 27
5631 25983 28
11030 14145 47
5388 20086 47
11103 6584 63
8366 20327 81
20588 28608 98
16699 4214 55
3635 2858 92
4313 9007 62
27693 6274 93
13040 25374 27
6678 12563 68
3090 23811 23
26244 860 80
4608 9393 55
25456 1031 63
22 11890 39
20464 22888 100
27239 6204 33
28711 12153 57
18681 23825 38
5796 641 73
12573 24969 39
19884 29388 48
22263 12207 12
8338 15021 43
25234 11143 47
7440 18920 71
10425 6536 45
14789 29718 74
2125 11404 71
22293 28632 69
6283 14505 55
9897 12580 84
2637 26324 50
29886 1094 84
3185 17408 59
23174 28303 89
9085 12449 54
24170 15804 58
11336 18607 20
14854 2099 14
8864 13277 30
26361 12577 47
23636 16223 42
7913 9565 100
29458 24931 51
1242 20747 87
19507 9974 26
15958 29473 83
1707 13945 60
10839 22228 21
29462 27265 36
21755 12591 48
7111 2014 20
11946 60 61
19907 22992 29
25685 23455 37
28934 23217 29
8598 24938 13
21535 27653 74
4750 20641 45
23059 4071 42
17984 2181 86
16709 14731 60
14280 9988 21
14237 14711 27
17609 28172 94
6274 23874 73
18699 21153 35
5530 22940 71
3295 20877 94
17503 23560 61
18459 1992 50
18077 19547 21
12197 18717 31
3014 23662 22
3205 18212 39
4909 14826 33
12621 4053 77
11835 19875 75
18143 23378 70
14153 6237 68
5777 2770 49
25703 25378 79
